username,name,email,area,leader
andres.guerrero0,Andrés Guerrero López,andres.guerrero0@ubits.co,Servicio al cliente,Diana Cortés
daniela.ortiz1,Daniela Ortiz Bermúdez,daniela.ortiz1@ubits.co,Gente y Cultura,Lucía Fernández
santiago.silva2,Santiago Silva Ortiz,santiago.silva2@ubits.co,Operaciones,Marcela Ospina
natalia.salazar3,Natalia Salazar Torres,natalia.salazar3@ubits.co,Producto,Emilio Vanegas
camila.diaz4,Camila Díaz García,camila.diaz4@ubits.co,Operaciones,Marcela Ospina
veronica.pena5,Verónica Peña Vargas,veronica.pena5@ubits.co,Tecnología,Andrés Beltrán
laura.rodriguez6,Laura Rodríguez Torres,laura.rodriguez6@ubits.co,Servicio al cliente,Diana Cortés
juliana.mendoza7,Juliana Mendoza Torres,juliana.mendoza7@ubits.co,Operaciones,Marcela Ospina
manuela.hernandez8,Manuela Hernández Silva,manuela.hernandez8@ubits.co,Producto,Emilio Vanegas
camila.garcia9,Camila García Díaz,camila.garcia9@ubits.co,Servicio al cliente,Diana Cortés
alejandro.restrepo10,Alejandro Restrepo Escobar,alejandro.restrepo10@ubits.co,Servicio al cliente,Diana Cortés
juliana.rodriguez11,Juliana Rodríguez López,juliana.rodriguez11@ubits.co,Tecnología,Andrés Beltrán
