username,name,email,area,leader
andres.guerrero0,Andrés Guerrero López,andres.guerrero0@ubits.co,Servicio al cliente,Diana Cortés
daniela.ortiz1,Daniela Ortiz Bermúdez,daniela.ortiz1@ubits.co,Gente y Cultura,Lucía Fernández
santiago.silva2,Santiago Silva Ortiz,santiago.silva2@ubits.co,Operaciones,Marcela Ospina
natalia.salazar3,Natalia Salazar Torres,natalia.salazar3@ubits.co,Producto,Emilio Vanegas
camila.diaz4,Camila Díaz García,camila.diaz4@ubits.co,Operaciones,Marcela Ospina
veronica.pena5,Verónica Peña Vargas,veronica.pena5@ubits.co,Tecnología,Andrés Beltrán
laura.rodriguez6,Laura Rodríguez Torres,laura.rodriguez6@ubits.co,Servicio al cliente,Diana Cortés
juliana.mendoza7,Juliana Mendoza Torres,juliana.mendoza7@ubits.co,Operaciones,Marcela Ospina
manuela.hernandez8,Manuela Hernández Silva,manuela.hernandez8@ubits.co,Producto,Emilio Vanegas
camila.garcia9,Camila García Díaz,camila.garcia9@ubits.co,Servicio al cliente,Diana Cortés
alejandro.restrepo10,Alejandro Restrepo Escobar,alejandro.restrepo10@ubits.co,Servicio al cliente,Diana Cortés
juliana.rodriguez11,Juliana Rodríguez López,juliana.rodriguez11@ubits.co,Tecnología,Andrés Beltrán
julian.rojas12,Julián Rojas Cárdenas,julian.rojas12@ubits.co,Legal,Patricia Lozano
tomas.cardenas13,Tomás Cárdenas Castro,tomas.cardenas13@ubits.co,Producto,Emilio Vanegas
paula.garcia14,Paula García Martínez,paula.garcia14@ubits.co,Logística,Hernán Zapata
alejandro.ramirez15,Alejandro Ramírez Navarro,alejandro.ramirez15@ubits.co,Logística,Hernán Zapata
daniela.guerrero16,Daniela Guerrero Mendoza,daniela.guerrero16@ubits.co,Operaciones,Marcela Ospina
juliana.ramirez17,Juliana Ramírez Vargas,juliana.ramirez17@ubits.co,Producto,Emilio Vanegas
daniela.castro18,Daniela Castro Rojas,daniela.castro18@ubits.co,Servicio al cliente,Diana Cortés
carlos.ortiz19,Carlos Ortiz Ortiz,carlos.ortiz19@ubits.co,Marketing,Jorge Piedrahíta
mariana.hernandez20,Mariana Hernández Quintero,mariana.hernandez20@ubits.co,Tecnología,Andrés Beltrán
ana.escobar21,Ana Escobar Escobar,ana.escobar21@ubits.co,Servicio al cliente,Diana Cortés
ricardo.torres22,Ricardo Torres Cifuentes,ricardo.torres22@ubits.co,Marketing,Jorge Piedrahíta
carlos.pena23,Carlos Peña Duarte,carlos.pena23@ubits.co,Logística,Hernán Zapata
daniela.cardenas24,Daniela Cárdenas García,daniela.cardenas24@ubits.co,Marketing,Jorge Piedrahíta
laura.hernandez25,Laura Hernández Rodríguez,laura.hernandez25@ubits.co,Finanzas,Rodrigo Cadena
alejandro.salazar26,Alejandro Salazar Moreno,alejandro.salazar26@ubits.co,Gente y Cultura,Lucía Fernández
sofia.quintero27,Sofía Quintero Castro,sofia.quintero27@ubits.co,Gente y Cultura,Lucía Fernández
santiago.escobar28,Santiago Escobar Torres,santiago.escobar28@ubits.co,Tecnología,Andrés Beltrán
santiago.moreno29,Santiago Moreno Mendoza,santiago.moreno29@ubits.co,Servicio al cliente,Diana Cortés
isabella.arango30,Isabella Arango Navarro,isabella.arango30@ubits.co,Comercial,Carolina Suárez
daniel.castro31,Daniel Castro Moreno,daniel.castro31@ubits.co,Comercial,Carolina Suárez
ricardo.guerrero32,Ricardo Guerrero Cárdenas,ricardo.guerrero32@ubits.co,Tecnología,Andrés Beltrán
carlos.ortiz33,Carlos Ortiz López,carlos.ortiz33@ubits.co,Logística,Hernán Zapata
esteban.ortiz34,Esteban Ortiz López,esteban.ortiz34@ubits.co,Tecnología,Andrés Beltrán
daniel.ortiz35,Daniel Ortiz Ramírez,daniel.ortiz35@ubits.co,Tecnología,Andrés Beltrán
paula.vargas36,Paula Vargas Ramírez,paula.vargas36@ubits.co,Tecnología,Andrés Beltrán
ricardo.pena37,Ricardo Peña Restrepo,ricardo.pena37@ubits.co,Gente y Cultura,Lucía Fernández
mariana.gomez38,Mariana Gómez Escobar,mariana.gomez38@ubits.co,Producto,
catalina.cardenas39,Catalina Cárdenas Duarte,catalina.cardenas39@ubits.co,Producto,Emilio Vanegas
camila.martinez40,Camila Martínez Rodríguez,camila.martinez40@ubits.co,Producto,Emilio Vanegas
sebastian.guerrero41,Sebastián Guerrero Salazar,sebastian.guerrero41@ubits.co,Legal,Patricia Lozano
veronica.rojas42,Verónica Rojas López,veronica.rojas42@ubits.co,Operaciones,Marcela Ospina
catalina.silva43,Catalina Silva Duarte,catalina.silva43@ubits.co,Comercial,Carolina Suárez
tomas.ortiz44,Tomás Ortiz Hernández,tomas.ortiz44@ubits.co,Logística,Hernán Zapata
daniel.cifuentes45,Daniel Cifuentes Restrepo,daniel.cifuentes45@ubits.co,Legal,Patricia Lozano
santiago.pena46,Santiago Peña Ramírez,santiago.pena46@ubits.co,Operaciones,Marcela Ospina
sebastian.vargas47,Sebastián Vargas Vargas,sebastian.vargas47@ubits.co,Marketing,Jorge Piedrahíta
mateo.moreno48,Mateo Moreno Bermúdez,mateo.moreno48@ubits.co,Producto,Emilio Vanegas
nicolas.castro49,Nicolás Castro García,nicolas.castro49@ubits.co,Tecnología,Andrés Beltrán
,Lucía Ramos,lucia.ramos@correo.com,Innovación,
martin.camacho11,,,,
gabriela.moreno12,Gabriela Moreno,gabriela.moreno@correo.com,Comercial,Carolina Suárez
